user_id,email,username,country,signup_at,birth_year,preferred_genres,device_type,is_active,deleted_at
U0001,user1@example.com,reader_0001,IT,2023-11-06,1991,Mystery|Romance|Horror,desktop,False,2024-05-06
U0002,user2@example.com,reader_0002,ES,2024-05-07,2004,Self-Help|Thriller|Biography|Sci-Fi,mobile,True,
U0003,user3@example.com,reader_0003,MX,2023-06-02,1978,Romance,tablet,True,
U0004,user4@example.com,reader_0004,GB,2023-09-14,1975,Sci-Fi|History,mobile,True,
U0005,user5@example.com,reader_0005,IN,2022-04-16,1983,Thriller|Fiction|Romance|Sci-Fi,e-reader,True,
U0006,user6@example.com,reader_0006,GB,2020-05-25,1999,Horror|Romance|Biography,desktop,True,
U0007,user7@example.com,reader_0007,DE,2023-08-19,1984,Sci-Fi|Mystery|Fiction,tablet,True,
U0008,user8@example.com,reader_0008,AU,2022-06-18,1970,Biography|Thriller|Self-Help,mobile,True,
U0009,user9@example.com,reader_0009,GB,2024-12-26,1979,Horror|Thriller|Fiction,mobile,True,
U0010,user10@example.com,reader_0010,AU,2024-04-15,1998,Horror|Fiction|Sci-Fi,e-reader,True,
U0011,user11@example.com,reader_0011,CA,2025-02-19,1986,Self-Help|Mystery|Horror|Sci-Fi,tablet,True,
U0012,user12@example.com,reader_0012,IN,2023-10-04,1996,Fantasy|Biography,tablet,True,
U0013,user13@example.com,reader_0013,GB,2023-09-18,1985,Self-Help,tablet,True,
U0014,user14@example.com,reader_0014,US,2021-10-24,1977,History|Fiction|Self-Help|Romance,tablet,True,
U0015,user15@example.com,reader_0015,DE,2023-06-29,1983,Fiction|Romance|Thriller|Self-Help,e-reader,True,
U0016,user16@example.com,reader_0016,MX,2024-12-08,2003,Fiction,desktop,True,
U0017,user17@example.com,reader_0017,CA,2023-12-24,1970,History,desktop,True,
U0018,user18@example.com,reader_0018,JP,2024-09-19,1997,Mystery|Sci-Fi|Self-Help|Fantasy,tablet,True,
U0019,user19@example.com,reader_0019,FR,2022-04-30,2003,Romance|Self-Help|Sci-Fi|Horror,desktop,True,
U0020,user20@example.com,reader_0020,JP,2024-11-04,1984,History|Thriller|Fiction,e-reader,False,2025-03-20
U0021,user21@example.com,reader_0021,SE,2024-11-07,1985,Fantasy|Horror|Biography|Romance,desktop,True,
U0022,user22@example.com,reader_0022,IN,2023-11-29,1995,Romance|Biography|Fiction|Sci-Fi,e-reader,True,
U0023,user23@example.com,reader_0023,DE,2022-03-01,1997,Self-Help|Fiction,tablet,True,
U0024,user24@example.com,reader_0024,IN,2024-11-16,1974,Mystery|History|Self-Help|Fiction,e-reader,True,
U0025,user25@example.com,reader_0025,PL,2024-11-18,1981,Mystery|Self-Help,tablet,True,
U0026,user26@example.com,reader_0026,NL,2023-06-30,1999,Fantasy,e-reader,True,
U0027,user27@example.com,reader_0027,MX,2021-10-10,1983,History|Fiction|Mystery|Self-Help,desktop,True,
U0028,user28@example.com,reader_0028,AU,2024-03-09,1975,Mystery,tablet,True,
U0029,user29@example.com,reader_0029,BR,2025-01-24,1988,Thriller,e-reader,False,2025-04-05
U0030,user30@example.com,reader_0030,GB,2020-10-25,2004,Horror|Sci-Fi|History|Mystery,e-reader,True,
U0031,user31@example.com,reader_0031,MX,2023-06-23,1981,Horror|Sci-Fi|Romance|Self-Help,e-reader,True,
U0032,user32@example.com,reader_0032,AU,2021-06-06,1987,Thriller|History|Sci-Fi|Fiction,tablet,True,
U0033,user33@example.com,reader_0033,CA,2023-08-01,1995,Self-Help|Thriller|Romance,mobile,True,
U0034,user34@example.com,reader_0034,US,2021-04-30,1990,Horror|Thriller|History,tablet,True,
U0035,user35@example.com,reader_0035,IN,2020-01-17,1996,Horror,tablet,True,
U0036,user36@example.com,reader_0036,MX,2024-05-07,1973,Romance|Horror|Thriller,mobile,True,
U0037,user37@example.com,reader_0037,PL,2025-01-24,1993,Thriller,mobile,True,
U0038,user38@example.com,reader_0038,BR,2023-04-01,1991,Mystery|Thriller,desktop,True,
U0039,user39@example.com,reader_0039,NL,2021-02-15,1975,History|Horror|Thriller,tablet,True,
U0040,user40@example.com,reader_0040,GB,2025-02-14,1974,Thriller|Fantasy|Mystery|Romance,desktop,True,
U0041,user41@example.com,reader_0041,CA,2024-10-27,1965,History|Fantasy|Mystery|Biography,tablet,True,
U0042,user42@example.com,reader_0042,GB,2023-01-03,1979,Thriller|Biography|Fantasy,e-reader,True,
U0043,user43@example.com,reader_0043,MX,2020-02-21,1994,Horror|Romance|Mystery,tablet,True,
U0044,user44@example.com,reader_0044,JP,2023-08-22,1996,Fiction|Horror,mobile,True,
U0045,user45@example.com,reader_0045,BR,2020-07-18,1999,Biography|Self-Help,e-reader,True,
U0046,user46@example.com,reader_0046,NL,2023-04-17,1996,Biography|Mystery,e-reader,True,
U0047,user47@example.com,reader_0047,FR,2021-07-26,1988,Self-Help|Horror,mobile,False,2023-09-22
U0048,user48@example.com,reader_0048,FR,2023-11-05,1972,Fiction|Biography|Thriller,e-reader,True,
U0049,user49@example.com,reader_0049,PL,2020-07-06,1986,Fiction,desktop,True,
U0050,user50@example.com,reader_0050,FR,2020-09-14,2002,Mystery|History,desktop,True,
U0051,user51@example.com,reader_0051,NL,2024-07-23,1974,Sci-Fi|Fiction|Thriller,desktop,True,
U0052,user52@example.com,reader_0052,DE,2023-01-11,1965,Mystery|Fiction,tablet,True,
U0053,user53@example.com,reader_0053,US,2024-06-05,1973,Fiction|Sci-Fi|Thriller,e-reader,True,
U0054,user54@example.com,reader_0054,AU,2022-12-13,1988,Self-Help,mobile,True,
U0055,user55@example.com,reader_0055,JP,2022-07-14,1994,History,mobile,True,
U0056,user56@example.com,reader_0056,SE,2020-05-04,1993,Biography|Mystery|Self-Help|Fantasy,mobile,True,
U0057,user57@example.com,reader_0057,JP,2025-01-15,2004,Mystery|Sci-Fi,tablet,True,
U0058,user58@example.com,reader_0058,GB,2022-02-19,1972,Self-Help|History|Biography,desktop,True,
U0059,user59@example.com,reader_0059,NL,2022-05-30,1994,Biography|Fantasy,e-reader,True,
U0060,user60@example.com,reader_0060,BR,2022-05-01,1974,Biography|Fantasy|Thriller,e-reader,True,
U0061,user61@example.com,reader_0061,CA,2020-05-17,1971,Mystery,tablet,True,
U0062,user62@example.com,reader_0062,IT,2024-07-20,2000,Horror,tablet,True,
